Core;Branch;Generation;volume;pH;viscosity;transition_temp;density;boiling_point;refractive_index;freezing_point;solubility;solution
N(*)(*)CCCCN(*)(*);CCCN(*)(*);0;428;;0.028;107;0.96;;1.502;;soluble;
N(*)(*)CCCCN(*)(*);CCCN(*)(*);1;922;12;0.28;97;0.99;;1.512;;soluble;
N(*)(*)CCCCN(*)(*);CCCN(*)(*);2;2.492;;1.1;90;1.01;;1.515;;soluble;
N(*)(*)CCCCN(*)(*);CCCN(*)(*);4;10.96;;6.7;84;1.01;;1.518;;soluble;
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);0;;;;;0.854;64.7;1.364;52;;20
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);1;;;;;0.82;64.7;1.362;52;;20
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);2;;;;;0.86;64.7;1.362;;;20
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);2.5;;;;;0.947;65;1.367;52;;5
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);4;;;;;0.813;64.7;1.348;;;10
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);5;;;;;0.797;;;;;5
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);7;;;;;0.8;;1.341;;;5
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);10;;;;;0.82;64.7;1.362;;;20
N(*)(*)CCN(*)(*);NCCC(=O)[O-][Na+](*)(*);0.5;;;;;0.86;65;1.368;;;20
N(*)(*)CCN(*)(*);NCCC(=O)[O-](*)(*);1.5;;;;;0.86;65;1.365;;;20
N(*)(*)CCN(*)(*);NCCC(=O)O[Na](*)(*);2.5;;;;;0.86;65;1.366;;;10
N(*)(*)CCN(*)(*);NCCC(=O)O(*)(*);3.5;;;;;0.81;65;1.346;;;10
N(*)(*)CCN(*)(*);NCCC(=O)[O-][Na+](*)(*);4.5;;;;;0.791;65;1.337;;;5
N(*)(*)CCN(*)(*);NCCC(=O)[O-][Na+](*)(*);5.5;;;;;0.8;;1.337;;;5
N(*)(*)CCN(*)(*);NCCO(*)(*);3;;;;;0.86;65;1.364;;;20
N(*)(*)CCN(*)(*);NCCO(*)(*);4;;;;;0.947;65;1.359;;;10
N(*)(*)CCN(*)(*);NCCO(*)(*);5;;;;;0.786;;1.3374;;;5
