Core;Branch;Terminal_Branch;Generation;volume;pH;viscosity;transition_temp;density;boiling_point;refractive_index;freezing_point;solubility;solution;fr_C_O_noCOO;Chi4v;fr_SH;Chi4n;SMR_VSA10;fr_Al_COO;fr_COO2;MolWt;TPSA;EState_VSA8;PEOE_VSA11;PEOE_VSA10;BalabanJ;EState_VSA10;EState_VSA11;HeavyAtomMolWt;Chi0;Chi1;MolLogP;fr_Al_OH;fr_C_O;NumValenceElectrons;HallKierAlpha;fr_NH2;EState_VSA9;fr_COO;NHOHCount;SlogP_VSA5;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;NumHeteroatoms;fr_NH1;fr_NH0;BertzCT;LabuteASA;Chi3n;SMR_VSA3;SMR_VSA1;Kappa1;SMR_VSA6;Kappa3;Kappa2;EState_VSA6;Chi3v;EState_VSA2;EState_VSA3;EState_VSA1;SMR_VSA5;Ipc;SMR_VSA4;EState_VSA7;EState_VSA4;NumHDonors;EState_VSA5;Chi2n;Chi2v;HeavyAtomCount;NumHAcceptors;VSA_EState9;NOCount;Chi1n;PEOE_VSA8;PEOE_VSA7;PEOE_VSA4;PEOE_VSA3;PEOE_VSA2;PEOE_VSA1;fr_imide;Chi1v;fr_Al_OH_noTert;Chi0n;MolMR;PEOE_VSA9;MolecularFormula;Chi0v;NumRotatableBonds
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;0;428;12;0.028;107;0.96;65;1.502;52;soluble;10;0;2.6012163492;0;2.6012163492;0;0;0;316.538;110.56;9.7998194617;0;0;3.8779568485;0;0;276.218;16.4684090374;10.7779168675;-0.2342;0;0;134;-0.24;4;22.9346699086;0;4;38.5249297376;22.9346699086;75.2473835208;0;6;0;2;176.812711826;137.092612872;3.9125464751;9.7998194617;0;21.76;65.4475640591;13.4248082999;17.1191992863;0;3.9125464751;0;0;0;38.5249297376;62634.245532;22.9346699086;0;91.1308505508;4;12.8416432459;5.9593024549;5.9593024549;22;6;44;6;9.030359758;0;103.972493797;0;0;0;32.7344893703;0;9.030359758;0;14.5175367667;96.7996;0;C16H40N6;14.5175367667;17
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;1;922;12;0.28;97;0.99;65;1.512;52;soluble;10;0;7.2741297928;0;7.2741297928;0;0;0;773.306;227.6;29.3994583851;0;0;5.4157472813;0;0;676.538;39.7483728626;26.5053234778;-0.0706;0;0;326;-0.56;8;45.8693398173;0;8;89.891502721;45.8693398173;199.563124939;0;14;0;6;582.109627847;334.250121087;10.4211428443;29.3994583851;0;53.44;170.163666554;33.5679892117;42.0567530513;0;10.4211428443;0;0;0;89.891502721;278792954851;45.8693398173;0;221.530239537;8;38.5249297376;15.3089932641;15.3089932641;54;14;104;14;22.458086112;0;260.055169275;0;0;0;75.2687982024;0;22.458086112;0;35.586354974;235.7132;0;C40H96N14;35.586354974;45
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;2;2.492;12;1.1;90;1.01;65;1.515;52;soluble;10;0;16.6199566801;0;16.6199566801;0;0;0;1686.842;461.68;68.5987362319;0;0;7.742502902;0;0;1477.178;86.3083005131;57.9601366985;0.2566;0;0;710;-1.2;16;91.7386796346;0;16;192.624648688;91.7386796346;448.194607775;0;30;0;14;1500.3308109;728.565137515;23.4383355828;68.5987362319;0;116.8;379.595871543;73.939064337;91.9942344045;0;23.4383355828;0;0;0;192.624648688;1.16977231005e+29;91.7386796346;0;559.378876985;16;12.8416432459;34.0083748823;34.0083748823;118;30;224;30;49.3135388201;0;572.220520231;0;0;0;160.337415867;0;49.3135388201;0;77.7239913884;513.5404;0;C88H208N30;77.7239913884;101
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;4;10.96;12;6.7;84;1.01;65;1.518;52;soluble;10;0;72.6949180038;0;72.6949180038;0;0;0;7168.058;1866.16;303.794403313;0;0;17.8596279264;0;0;6281.018;365.667866416;246.689016022;2.2198;0;0;3014;-5.04;64;366.954718538;0;64;809.023524489;366.954718538;1939.98350479;0;126;0;62;7853.14736942;3094.45523609;101.541492014;303.794403313;0;496.96;1636.18910148;316.251750383;391.686718446;0;101.541492014;0;418.864409978;0;809.023524489;1.04102960809e+185;366.954718538;0;2026.34821599;64;0;146.204664592;146.204664592;502;126;944;126;210.446255069;0;2445.21262597;0;0;0;670.749121851;0;210.446255069;0;330.549809875;2180.5036;0;C376H880N126;330.549809875;437
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;0;219.48;12;0.69;93.5;0.854;64.7;1.364;52;;20;0;3.5811276505;0;3.5811276505;0;0;0;524.756;239.6;31.0669738777;0;24.9116046829;4.9398798663;20.4261095794;0;468.308;27.0204508012;17.353304268;-5.3824;4;0;218;-0.56;4;22.9346699086;0;12;25.6832864917;44.2018243247;146.764123407;0;14;4;2;396.544771084;216.658649302;5.7047116035;31.0669738777;20.4261095794;35.44;91.6265896828;21.5181864378;24.7583596723;0;5.7047116035;0;117.309876174;24.9116046829;50.5948911746;38975976.6568;22.9346699086;0;0;12;0;8.8723703345;8.8723703345;36;14;86.3333333333;14;13.2650625796;91.6265896828;25.6832864917;0;0;21.267154416;53.1605989497;0;13.2650625796;4;22.0300057879;143.6036;0;C22H56N10O4;22.0300057879;27
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;1;219.48;12;0.69;93.5;0.82;64.7;1.362;52;;20;0;10.735018615;0;10.735018615;0;0;0;1454.068;614.72;93.2009216332;0;74.7348140488;6.7655907901;61.2783287381;0;1300.852;74.232925279;48.2314856793;-13.9548;12;0;602;-1.52;8;45.8693398173;0;32;77.0498594751;109.670803065;414.113344597;0;38;12;6;1421.04605592;598.407998833;16.7839981369;93.2009216332;61.2783287381;98.48;248.700743425;61.6129052386;69.2358245323;0;16.7839981369;0;325.7506029;74.7348140488;151.784673524;6.56077832879e+21;45.8693398173;0;0;32;0;25.462410465;25.462410465;100;38;237;38;37.1621945768;248.700743425;77.0498594751;0;0;63.8014632481;136.54712694;0;37.1621945768;12;60.9521891621;394.5932;0;C62H152N26O12;60.9521891621;79
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;2;219.48;12;0.69;93.5;0.86;64.7;1.362;52;;20;0;25.042800544;0;25.042800544;0;0;0;3312.692;1364.96;217.468817144;0;174.381232781;9.5455694376;142.982767056;0;2965.94;168.657874234;109.987848502;-31.0996;28;0;1370;-3.44;16;91.7386796346;0;72;179.783005442;240.608760547;948.811786977;0;86;28;14;3719.68980281;1361.9066979;38.9425712036;217.468817144;142.982767056;224.56;562.849050908;141.813007676;158.212197385;0;38.9425712036;142.497423534;600.134632816;174.381232781;354.164238223;1.23662554848e+73;91.7386796346;0;0;72;0;58.642490726;58.642490726;228;86;538.333333333;86;84.9564585713;562.849050908;179.783005442;0;0;148.870080912;303.320182922;0;84.9564585713;28;138.796555911;896.5724;0;C142H344N58O28;138.796555911;183
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;2.5;219.48;12;0.69;93.5;0.947;65;1.367;52;;5;0;25.042800544;0;25.042800544;0;0;0;3312.692;1364.96;217.468817144;0;174.381232781;9.5455694376;142.982767056;0;2965.94;168.657874234;109.987848502;-31.0996;28;0;1370;-3.44;16;91.7386796346;0;72;179.783005442;240.608760547;948.811786977;0;86;28;14;3719.68980281;1361.9066979;38.9425712036;217.468817144;142.982767056;224.56;562.849050908;141.813007676;158.212197385;0;38.9425712036;142.497423534;600.134632816;174.381232781;354.164238223;1.23662554848e+73;91.7386796346;0;0;72;0;58.642490726;58.642490726;228;86;538.333333333;86;84.9564585713;562.849050908;179.783005442;0;0;148.870080912;303.320182922;0;84.9564585713;28;138.796555911;896.5724;0;C142H344N58O28;138.796555911;183
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;4;219.48;12;0.69;93.5;0.813;64.7;1.348;52;;10;0;110.889492118;0;110.889492118;0;0;0;14464.436;5866.4;659.281786897;0;772.259745171;21.5780450303;612.783287381;20.4261095794;12956.468;735.207567967;480.526025437;-133.9684;124;0;5978;-14.96;64;366.954718538;0;312;796.181881243;1026.23650544;4157.00244126;0;374;124;62;19356.5439921;5942.89889227;171.894009604;963.07619021;633.20939696;981.04;2447.73889581;623.023446505;692.09067913;0;171.894009604;3218.23749056;0;797.943031663;1568.44162641;nan;366.954718538;303.794403313;0;312;0;257.722972292;257.722972292;996;374;2346.33333333;374;371.722042538;2447.73889581;796.181881243;0;0;659.281786897;1303.95851881;0;371.722042538;124;605.862756402;3908.4476;0;C622H1496N250O124;605.862756402;807
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;5;219.48;12;0.69;93.5;0.797;65;1.363;52;;5;0;225.35174755;0;225.35174755;0;0;0;29333.428;11868.32;1339.83072821;0;1569.43109503;34.3849226924;1143.86213644;142.982767056;26277.172;1490.60715961;974.576928017;-271.1268;252;0;12122;-30.32;128;733.909437077;0;632;1618.04704898;2073.74016529;8434.58998029;0;758;252;126;41666.1833869;12050.8884848;349.162594137;1957.2193543;1286.8449035;1989.68;4960.92535568;1264.6386206;1403.93126372;68.5987362319;349.162594137;5941.0564508;0;2207.34704888;3187.478144;nan;733.909437077;548.789889855;0;632;0;523.16361438;523.16361438;2020;758;4757;758;754.076154494;4960.92535568;1618.04704898;0;0;1339.83072821;2638.14296666;0;754.076154494;252;1228.61769039;7924.2812;0;C1262H3032N506O252;1228.61769039;1639
