DataBase;ID;volume;pH;viscosity;transition_temp;density;boiling_point;refractive_index;freezing_point;solubility;solution;PSA;fr_C_O_noCOO;Chi4v;fr_Ar_COO;fr_SH;Chi4n;SMR_VSA10;fr_para_hydroxylation;fr_barbitur;fr_halogen;fr_dihydropyridine;fr_priamide;fr_Al_COO;fr_guanido;fr_furan;fr_morpholine;fr_nitroso;fr_COO2;fr_amidine;SMR_VSA7;fr_benzodiazepine;fr_Imine;MolWt;fr_hdrzine;fr_urea;fr_Ar_NH;fr_quatN;fr_benzene;fr_phos_acid;fr_sulfone;VSA_EState10;fr_aniline;fr_N_O;fr_sulfonamd;fr_thiazole;TPSA;EState_VSA8;PEOE_VSA14;PEOE_VSA13;PEOE_VSA12;PEOE_VSA11;PEOE_VSA10;BalabanJ;fr_lactone;EState_VSA10;EState_VSA11;HeavyAtomMolWt;fr_nitro_arom;Chi0;Chi1;MolLogP;fr_nitro;fr_Al_OH;fr_azo;fr_C_O;fr_ether;fr_phenol_noOrthoHbond;fr_alkyl_halide;NumValenceElectrons;fr_aryl_methyl;fr_Ndealkylation2;fr_term_acetylene;HallKierAlpha;fr_C_S;fr_thiocyan;fr_ketone_Topliss;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState1;VSA_EState2;VSA_EState3;fr_HOCCN;fr_NH2;SlogP_VSA12;EState_VSA9;SlogP_VSA10;SlogP_VSA11;fr_COO;NHOHCount;fr_unbrch_alkane;fr_methoxy;fr_thiophene;SlogP_VSA8;SlogP_VSA9;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;fr_phos_ester;fr_piperzine;fr_nitrile;NumHeteroatoms;fr_NH1;fr_NH0;BertzCT;LabuteASA;fr_amide;Chi3n;fr_imidazole;SMR_VSA3;SMR_VSA2;SMR_VSA1;Kappa1;SMR_VSA6;Kappa3;Kappa2;EState_VSA6;Chi3v;SMR_VSA9;SMR_VSA8;EState_VSA2;EState_VSA3;fr_Ndealkylation1;EState_VSA1;fr_ketone;SMR_VSA5;Ipc;fr_diazo;SMR_VSA4;fr_Ar_N;fr_Nhpyrrole;EState_VSA7;fr_ester;EState_VSA4;NumHDonors;fr_prisulfonamd;fr_oxime;EState_VSA5;fr_isocyan;Chi2n;Chi2v;HeavyAtomCount;fr_azide;NumHAcceptors;fr_lactam;fr_allylic_oxid;VSA_EState8;fr_oxazole;VSA_EState9;fr_piperdine;fr_Ar_OH;fr_sulfide;fr_alkyl_carbamate;NOCount;Chi1n;PEOE_VSA8;PEOE_VSA7;PEOE_VSA6;PEOE_VSA5;PEOE_VSA4;PEOE_VSA3;PEOE_VSA2;PEOE_VSA1;fr_imide;Chi1v;fr_Al_OH_noTert;fr_epoxide;fr_hdrzone;fr_isothiocyan;fr_bicyclic;Chi0n;fr_phenol;MolMR;PEOE_VSA9;MolecularFormula;fr_aldehyde;fr_pyridine;fr_tetrazole;RingCount;fr_nitro_arom_nonortho;Chi0v;fr_ArN;NumRotatableBonds;SMILES
ChemSpider;12933;;;;;;217;1.421;;;;;0;3.9594431489;0;0;1.319814383;8.804435157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221.373;0;0;0;0;0;0;0;0;0;0;0;0;53.71;0;87.4176490109;0;0;0;0;4.2106704434;0;0;0;198.189;0;10.8639610307;6.7426406871;1.3836;0;0;0;0;0;0;0;86;0;0;0;0.0568831169;0;0;0;0;0;0;0;0;0;0;0;1;0;19.0116825555;0;0;0;1;0;0;0;0;0;0;27.192033222;0;6.0440957769;5.7336674772;35.1698374565;13.2780150784;0;0;0;5;0;0;118.205924253;88.0902871606;0;1.7798393687;0;0;0;13.2780150784;14.0568831169;26.3654022995;5.0664194372;8.3721974023;0;4.9312698157;0;0;0;26.3654022995;0;8.804435157;0;33.2361289989;1050.01730927;0;5.7336674772;0;0;20.7712115991;0;12.4649173998;1;0;0;0;0;2.8742793328;5.6063301403;14;0;4;0;0;16.9541666667;0;13.2402777778;0;0;0;0;4;5.3615198641;0;0;0;0;0;0;0;0;0;7.2933715167;0;0;0;0;0;9.5447358277;0;59.1104;0;C9H23NO3Si;0;0;0;0;0;10.5447358277;0;9;CCO[Si](CCCN)(OCC)OCC
ChemSpider;8101273;;;;;;;1.4501;;;;;0;3.5811337072;0;0;1.8589718743;8.804435157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278.469;0;0;0;0;0;0;0;0;0;0;0;0;65.74;5.316788604;112.24477205;0;0;0;0;3.3838518686;0;0;0;248.229;0;13.6923881554;8.7426406871;1.3633;0;0;0;0;0;0;0;110;0;0;0;0.0168831169;0;0;0;0;0;0;0;0;0;0;0;1;0;19.0116825555;0;0;0;2;7;0;0;0;0;0;32.1041081146;0;6.0440957769;11.0504560812;49.7680969986;13.2780150784;0;0;0;6;1;0;172.44079552;112.734975687;0;3.0772065415;0;5.316788604;0;13.2780150784;18.0168831169;40.9636618416;8.1771316406;12.0713920249;21.3293926238;5.9091577715;0;0;0;0;0;8.804435157;0;38.1482038915;8690.12610572;0;5.7336674772;0;0;0;0;38.5200082405;2;0;0;19.2624648688;0;4.3518272252;7.4425975003;18;0;5;0;0;16.0893174242;0;21.1051270202;0;0;0;0;5;6.8060257693;0;0;0;0;0;0;0;0;0;8.7378774219;0;0;0;0;0;12.1660561713;0;76.5971;0;C12H30N2O3Si;0;0;0;0;0;13.1660561713;0;13;CO[Si](CCCNCCCCCCN)(OC)OC
ChemSpider;4880347;;;;;1.7;;1.84;;;;178;0;10.8088183836;0;0;8.2869363329;51.9918515596;0;0;0;0;0;0;0;0;0;0;0;0;211.273494233;0;0;880.912;0;0;0;0;8;0;2;-7.9050534926;0;0;0;0;164.88;0;0;22.2370675802;19.6745062728;0;22.9980473331;1.066585911;0;36.0137427049;0;852.688;0;44.0696098961;30.8613802433;10.4362;0;0;0;0;2;0;0;310;0;0;0;-8.2;0;0;0;0;0;0;0;0;0;0;0;0;19.6745062728;9.4737259076;0;22.9980473331;0;0;0;0;0;54.8190208195;0;0;0;208.618360555;0;31.7107934878;9.1341992956;16.8355939687;0;0;0;14;0;2;3678.73117722;361.775370236;0;11.4483537042;0;9.1341992956;0;26.3093198763;38.7029018579;0;6.0233225867;14.170128037;60.6636706846;15.0194255716;45.4997228659;0;86.2720990714;11.1269029834;0;41.911573853;0;19.5819339021;3.6635815948e+14;0;0;2;0;0;0;9.1341992956;0;0;0;109.194607232;0;15.1600703558;19.0594355897;64;0;12;0;0;56.655138622;0;112.749914871;0;0;0;0;12;19.7073676313;44.4500794237;132.454244353;36.3982024108;0;0;25.9697932642;19.1781487363;9.4737259076;0;22.6736941265;0;0;0;0;1;32.9592142139;0;240.968;30.9567064514;C50H28N2O10S2;0;2;0;27;0;34.5922073757;0;0;C1=CC2=CC(=C1)OC3=CC=C(C=C3)S(=O)(=O)C4=CC=C(C=C4)C5=CC=C(C=C5)S(=O)(=O)C6=CC=C(C=C6)OC7=CC=CC(=C7)N8C(=O)C9=C1C(=CC=C3C1=C(C=C9)C(=O)N2C3=O)C8=O 
ChemSpider;92802;;;;;;54;1.3;;;;;1;0.6151493844;0;0;0.6151493844;6.0370142957;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;332.04;0;0;0;0;0;0;0;0;0;0;0;0;26.3;0;36.2755501687;0;0;0;0;5.7339568044;0;57.4795177562;0;332.04;0;16.7844570504;8.4004824542;3.5176;0;0;0;1;1;0;11;120;0;0;0;-1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.6849805721;0;0;0;0;0;0;0;0;0;0;0;0;0;36.2755501687;9.5314001379;0;0;0;14;0;0;380.389235933;99.8254537645;0;1.6077902553;0;0;0;62.21638071;18.79;0;2.9313061038;4.6643862563;0;1.6077902553;0;0;0;0;0;36.2755501687;0;30.238535873;4770.49346542;0;0;0;0;0;0;0;0;0;0;4.7368629538;0;3.0577124082;3.0577124082;20;0;2;0;0;143.013829365;0;-28.5971626984;0;0;0;0;2;3.8801592738;0;0;0;0;52.6849805721;0;9.5314001379;0;0;3.8801592738;0;0;0;0;0;8.352070257;0;33.043;0;C6F12O2;0;0;0;0;0;8.352070257;0;6;C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)F 
ChemSpider;24603649;;;;;1.6;;1.693;;;;253;0;13.9932411327;0;0;11.471359082;62.7642999886;0;0;6;0;0;0;0;0;0;0;0;0;312.346550081;0;0;1335.194;0;0;0;0;10;0;2;-8.2151463499;0;0;0;0;243.02;0;12.3525970349;44.4741351604;19.6745062728;0;22.9980473331;0.6269798874;0;81.5343817273;0;1298.906;0;67.6546673759;45.6471110748;12.9946;0;0;0;0;2;0;6;474;0;0;0;-12.16;0;0;0;0;0;0;0;0;0;0;0;0;19.6745062728;9.4737259076;26.342490286;22.9980473331;0;0;0;0;0;76.9662417978;0;0;11.1269029834;276.327445839;0;53.947861068;30.6209956261;16.8355939687;0;0;0;26;0;4;5780.69468216;531.841597401;0;16.2004083227;0;18.2683985912;0;52.6518101623;61.3510342673;0;10.302871577;22.2708702198;24.2654682738;19.77148019;56.8744954153;0;108.41932005;32.3938364159;0;87.6281414515;0;31.934530937;1.3059218815e+25;0;0;4;0;0;0;69.7978699802;0;0;0;121.327341369;0;21.9630599817;25.8624252157;96;0;18;0;0;138.811379576;0;146.070433441;0;0;0;0;18;28.3801666995;12.1327341369;168.852446763;48.5309365477;0;26.342490286;35.1039925598;38.3562974726;9.4737259076;0;31.3464931947;0;0;0;0;4;48.3732235583;0;341.336;96.5481756999;C70H36F6N4O14S2;0;0;0;14;0;50.0062167202;0;15;C1=CC(=CC(=C1)N2C(=O)C3=CC4=C(C=C3C2=O)C(=O)N(C4=O)C5=CC(=CC=C5)OC6=CC=C(C=C6)S(=O)(=O)C7=CC=C(C=C7)C8=CC=C(C=C8)S(=O)(=O)C9=CC=C(C=C9)OC1=CC=CC(=C1)N1C(=O)C2=C(C1=O)C=C1C(=C2)C(=O)N(C1=O)C1=CC=CC(=C1)C(F)(F)F)C(F)(F)F 
ChemSpider;24603647;;;;;1.6;;1.731;;;;431;0;26.6039627497;0;0;21.5601986482;136.301048406;0;0;6;0;0;0;0;0;0;0;0;0;547.885512588;0;0;2316.226;0;0;0;0;20;0;4;-16.6212403385;0;0;0;0;407.9;0;12.3525970349;66.7112027406;39.3490125457;0;45.9960946663;0.3723519519;0;117.548124432;0;2247.682;0;116.862105474;80.5084913181;25.7372;0;0;0;0;4;0;6;820;0;0;0;-21.4;0;0;0;0;0;0;0;0;0;0;0;0;39.3490125457;18.9474518152;26.342490286;45.9960946663;0;0;0;0;0;153.330159475;0;0;11.1269029834;509.211274668;0;85.6586545558;39.7551949216;33.6711879373;0;0;0;40;0;6;11495.1984874;937.61181894;0;29.6547450911;0;27.4025978867;0;78.9611300386;105.541230487;0;17.5153461879;39.2225419993;60.6636706846;36.7968888257;102.374218281;0;216.236315979;43.5207393993;0;129.539715305;0;51.516464839;3.62443762257e+59;0;0;6;0;0;0;42.533866865;0;0;0;315.45108756;0;39.3791134017;47.1778438695;168;0;30;0;0;200.019678857;0;269.434894814;0;0;0;0;30;50.9208676641;121.217504134;325.57215939;84.9291389585;0;26.342490286;61.0737858241;57.5344462089;18.9474518152;0;56.8535206545;0;0;0;0;0;85.6418388489;0;617.316;84.4150884356;C128H68F6N6O24S4;0;6;0;26;0;88.9078251726;0;26;C1=CC(=CC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC(=CC=C6)OC7=CC=C(C=C7)S(=O)(=O)C8=CC=C(C=C8)C9=CC=C(C=C9)S(=O)(=O)C1=CC=C(C=C1)OC1=CC=CC(=C1)N1C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C3=CC(=CC=C3)OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(C=C3)C3=CC=C(C=C3)S(=O)(=O)C3=CC=C(C=C3)OC3=CC=CC(=C3)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C4=CC=CC(=C4)C(F)(F)F)C3=O)C1=O)C2=O)C(F)(F)F 
ChemSpider;98294;;;;;1.1;648;1.551;;;;65;0;4.3661668143;0;0;4.3661668143;0;0;0;0;0;0;0;0;0;0;0;0;0;110.277662693;0;0;534.741;0;0;0;0;2;0;0;0;0;0;0;0;65.4;74.2285048693;0;0;0;0;36.9207203711;1.9092056971;0;10.2130547897;0;488.373;0;28.6751513396;18.7254437416;4.8399;0;2;0;0;2;0;0;212;0;0;0;-3.16;0;0;0;0;0;0;0;0;0;0;0;0;0;9.4737259076;0;11.4990236666;0;2;0;0;0;0;0;0;24.9743773828;99.1507597094;0;9.4737259076;84.7031093914;5.4149904694;0;0;0;6;0;2;915.504441139;234.729094903;0;6.5238710083;0;9.7998194617;0;19.6867806973;32.0542079904;52.4823023645;10.8527329134;16.7258248465;0;6.5238710083;11.4990236666;0;18.6287543984;39.2685384355;0;12.2079327755;0;31.4703976443;250187204.432;0;0;0;0;48.5695487012;0;22.62592665;2;0;0;0;0;10.1951967103;10.1951967103;39;0;6;0;0;0;0;85.5833333333;0;0;0;0;6;13.4410768309;44.6835289049;35.3923712572;62.4170231006;26.3157427344;0;0;9.7998194617;19.6867806973;0;13.4410768309;2;0;0;0;0;23.6735361058;0;161.6836;0;C33H46N2O4;0;0;0;2;0;23.6735361058;0;20;CC(C)(C1=CC=C(C=C1)OCC(CN(CC=C)CC=C)O)C2=CC=C(C=C2)OCC(CN(CC=C)CC=C)O 
ChemSpider;69376;;;;;;;1.5797;;;;;0;19.6335920194;0;0;5.2524383795;51.1293289387;0;0;0;0;0;0;0;0;0;0;0;0;151.659176712;0;0;546.891;0;0;0;0;5;0;0;0;0;0;0;0;18.46;171.300210773;230.659833908;0;0;0;0;1.6927182137;0;0;0;512.619;0;26.478634438;18.44007214;4.7782;0;0;0;0;0;0;0;190;0;0;0;-3.3293506494;0;0;0;0;0;0;0;0;0;0;0;0;0;8.2302941969;0;0;0;0;0;0;0;0;0;0;0;151.659176712;19.641034061;25.9336282284;25.1957007103;8.2302941969;0;0;0;5;0;0;1260.88807106;229.617972598;0;7.3945459067;0;0;0;8.2302941969;26.284639819;0;5.2947594302;11.1905297717;0;20.8990207533;0;0;0;0;0;25.1957007103;0;19.641034061;535307442.661;0;0;0;0;0;0;5.1867256457;0;0;0;20.7469025827;0;10.0464535141;20.5906027218;38;0;2;0;0;15.2254535147;0;58.1912131519;0;0;0;0;2;13.1199145935;0;0;0;0;0;0;0;0;0;20.2529077554;0;0;0;0;0;22.2502533107;0;167.404;0;C33H34O2Si3;0;0;0;5;0;25.2502533107;0;9;C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)O[Si](C)(C3=CC=CC=C3)O[Si](C)(C4=CC=CC=C4)C5=CC=CC=C5 
ChemSpider;2297786;;;;;1.1;152.1;1.513;;;;3;0;1.7390288546;0;0;1.7390288546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111.188;0;0;0;0;0;0;0;0;0;0;0;0;3.24;4.8999097309;0;0;0;0;0;1.9218146147;0;0;0;98.084;0;5.3973412255;3.9663264952;1.2446;0;0;0;0;0;0;0;46;0;0;0;-0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.6832864917;0;0;0;24.0312633718;0;0;0;0;1;0;1;78.3876155629;50.6770750774;0;2.4986090886;0;4.8999097309;0;0;4.8030325255;13.0895128118;0.5756305551;1.7283806669;0;2.4986090886;0;0;0;0;0;0;0;31.7251273209;84.4839617386;0;0;0;0;0;0;6.0418408292;0;0;0;38.7727993035;0;2.9742493216;2.9742493216;8;0;1;0;0;0;0;12.3333333333;1;0;0;0;1;3.7071510027;6.0418408292;32.3519776806;6.4208216229;0;0;0;0;4.8999097309;0;3.7071510027;0;0;0;0;1;5.2672045518;0;33.829;0;C7H13N;0;0;0;2;0;5.2672045518;0;0;C1CCN2CCC2C1 
ChemSpider;49071664;;;;;1.1;828.3;1.499;;;;205;2;6.1133860251;0;0;4.5697971029;23.7001791911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682.878;0;1;0;0;0;0;0;1.9027363103;0;0;0;0;179.32;15.950365812;6.0311145123;0;5.9071797294;0;0;1.1714417393;0;9.5890743681;0;624.414;0;32.756809031;22.7027086004;-0.0635;0;0;0;2;9;0;0;270;0;0;0;-1.31;0;0;0;0;0;0;0;0;0;0;0;1;11.7618849494;48.3654340614;4.7945371841;0;0;4;28;0;0;0;0;0;25.6832864917;0;0;21.6840332892;167.03815571;47.4263037683;0;0;0;16;3;0;746.97526413;277.768448577;3;6.8874509102;0;15.950365812;0;52.2208409523;40.8631769204;137.76624178;22.2940446783;29.8003448648;0;8.3960899706;0;0;24.0219759;143.684147826;0;0;0;43.01690618;14970996265.6;0;5.7336674772;0;0;11.7618849494;0;25.0153184755;4;0;0;0;0;10.5176228012;11.7897883282;46;0;13;0;0;0;0;101.763930356;0;0;1;0;15;16.5546466966;30.5131260715;12.8416432459;6.4208216229;0;11.7618849494;4.7945371841;4.7945371841;64.3157998734;0;17.6034014866;0;0;0;0;1;27.386050092;0;173.3925;131.00755702;C30H58N4O11S;0;0;0;2;0;28.2025466729;0;35;C1C2C(C(S1)CCCCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN)NC(=O)N2 
