Experimental;Computed
1.515;1.45386341762
1.368;1.45652986056
1.839;1.68437003014
1.693;1.62883188039
1.472;1.45620002985
2.017;1.43897883975
1.502;1.45688056114
1.469;1.45521210925
1.365;1.45662348356
1.518;1.46809581413
1.512;1.45938961443
1.709;1.59754112383
1.337;1.45739062703
1.84;1.60434190455
1.359;1.45976582354
1.467;1.44592869796
1.46;1.44008475382
1.549;1.59999741318
1.462;1.45371929656
1.346;1.46014500283
1.513;1.50815878685
1.53;1.45900048415
1.731;1.76311106475
1.465;1.47863548315
1.364;1.46103087419
1.477;1.45322727504
1.367;1.48130735739
1.5797;1.46118049227
1.362;1.46377127765
1.4501;1.45403138026
1.478;1.45147770417
1.461;1.45657557447
1.362;1.48140441952
1.433;1.46681793571
1.551;1.47526807554
1.614;1.45325650983
1.348;1.45865965896
1.5735;1.45249419483
1.466;1.45801505483
1.499;1.45642861906
1.366;1.4467330154
1.364;1.4566555317
1.3;1.46033912632
1.421;1.52991871388
1.3374;1.4819357302
