Name;Experimental
120239-63-6;0.96
81758;1.4
163611-05-0;1.01
2297786;1.1
17345687;1.1
3831175;1.1
93376-66-0;0.86
17345686;1.1
1266719;1.2
153891-46-4 ;0.947
142986-44-5;0.82
192948-77-9;0.81
MFCD00197936_1;0.86
24603647;1.6
MFCD00197936_3;0.786
163442-67-9;0.813
202009-65-2;0.86
32699217;1.5
202009-66-3;0.791
29354498;1.1
4385544;1.1
49071664;1.1
163569;1.3
4256166;1.1
202009-64-1;0.86
17339164;1.1
MFCD00192447;0.86
24603649;1.6
155773-72-1;0.854
17339188;1.1
163442-68-0;0.797
154487-85-1;1.01
17346163;1.2
154487-83-9;0.99
10272879;1.8
145119;2.2
21884608;1.3
MFCD00197936_2;0.947
98294;1.1
4880347;1.7
