Experimental;Computed
1.515;1.43706743907
1.368;1.43867004597
1.839;1.42550125762
1.693;1.50343737247
1.472;1.43369958465
2.017;1.42891455393
1.502;1.43804286071
1.469;1.43986262849
1.365;1.43767319093
1.518;1.43512193695
1.512;1.43754906973
1.709;1.55527407911
1.337;1.42204548178
1.84;1.50949982492
1.359;1.40591591989
1.467;1.43992395772
1.46;1.36475270426
1.549;2.1746499325
1.462;1.43424114486
1.346;1.43643654855
1.513;1.65940803738
1.53;1.44693631244
1.731;1.91184323113
1.465;1.4399552863
1.364;1.444256252
1.477;1.33430590042
1.367;1.44285290332
1.5797;1.74165594337
1.362;1.44278542857
1.4501;1.43487615996
1.478;1.42587236256
1.461;1.43435089259
1.362;1.44385585327
1.433;1.43486115499
1.551;1.43311427084
1.614;1.43553845789
1.348;1.43963083602
1.5735;1.43050523161
1.466;1.43994611918
1.499;1.43559920282
1.366;1.43657072774
1.364;1.41416241232
1.3;1.49953337229
1.421;1.76384092512
1.3374;1.39452614437
