Experimental;Computed
0.96;1.15880857534
1.4;1.14742679281
1.01;1.1547357676
1.1;1.15332844828
1.1;1.15307863859
1.1;1.15055947076
0.86;1.16050598815
1.1;1.15307864006
1.2;1.20870739141
0.947;1.15715924287
0.82;1.1620446931
0.81;1.16242935188
0.86;1.16050598815
1.6;1.13973322337
0.786;1.16335261289
0.813;1.16231392387
0.86;1.16050598815
1.5;1.14358003713
0.791;1.16316027961
1.1;1.14871127279
1.1;1.15285081258
1.1;1.1530786384
1.3;1.15127363433
1.1;1.14061095406
0.86;1.16050598815
1.1;1.14679304965
0.86;1.16050598815
1.6;1.13973322337
0.854;1.16073678371
1.1;1.14551971073
0.797;1.16292947864
1.01;1.1547357676
1.2;1.15307486393
0.99;1.15550518491
1.8;1.13203966308
2.2;1.11660575964
1.3;1.15127363433
0.947;1.15715924287
1.1;1.15286593573
1.7;1.13588649141
