Experimental;Computed
0.96;1.15673076923
1.4;1.1475
1.01;1.15480769231
1.1;1.15314814815
1.1;1.15314814815
1.1;1.15314814815
0.86;1.16057692308
1.1;1.15314814815
1.2;1.15314814815
0.947;1.15723076923
0.82;1.16211538462
0.81;1.1625
0.86;1.16057692308
1.6;1.13980769231
0.786;1.16342307692
0.813;1.16238461538
0.86;1.16057692308
1.5;1.14365384615
0.791;1.16323076923
1.1;1.15314814815
1.1;1.15314814815
1.1;1.15314814815
1.3;1.15134615385
1.1;1.15314814815
0.86;1.16057692308
1.1;1.15314814815
0.86;1.16057692308
1.6;1.13980769231
0.854;1.16080769231
1.1;1.15314814815
0.797;1.163
1.01;1.15480769231
1.2;1.15314814815
0.99;1.15557692308
1.8;1.13211538462
2.2;1.11673076923
1.3;1.15134615385
0.947;1.15723076923
1.1;1.15314814815
1.7;1.13596153846
