Experimental;Computed
1.515;1.52835238095
1.368;1.53137
1.839;1.51765263158
1.693;1.52512
1.472;1.52835238095
2.017;1.50857
1.502;1.52835238095
1.469;1.52835238095
1.365;1.53152
1.518;1.52835238095
1.512;1.52835238095
1.709;1.52432
1.337;1.53292
1.84;1.5176
1.359;1.53182
1.467;1.52835238095
1.46;1.52835238095
1.549;1.52835238095
1.462;1.52835238095
1.346;1.53247
1.513;1.52835238095
1.53;1.52835238095
1.731;1.52322
1.465;1.52835238095
1.364;1.53157
1.477;1.52835238095
1.367;1.53142
1.5797;1.52835238095
1.362;1.53167
1.4501;1.52835238095
1.478;1.52835238095
1.461;1.52835238095
1.362;1.53167
1.433;1.52835238095
1.551;1.52835238095
1.614;1.52835238095
1.348;1.53237
1.5735;1.52835238095
1.466;1.52835238095
1.499;1.52835238095
1.366;1.53147
1.364;1.53157
1.3;1.53468571429
1.421;1.52872
1.3374;1.5329
