Count 21
density 0
Generation 0
freezing_point 18
viscosity 17
solution 4
solubility 17
volume 17
boiling_point 8
transition_temp 17
pH 20
refractive_index 1
C16H40N6 C40H96N14 1.0
C16H40N6 C88H208N30 1.0
C16H40N6 C376H880N126 1.0
C16H40N6 C22H56N10O4 1.0
C16H40N6 C62H152N26O12 1.0
C16H40N6 C142H344N58O28 1.0
C16H40N6 C142H344N58O28 1.0
C16H40N6 C622H1496N250O124 1.0
C16H40N6 C1262H3032N506O252 1.0
C16H40N6 C5102H12248N2042O1020 1.0
  -1
C16H40N6 C46H80N10O20-------- 1.0
C16H40N6 C110H200N26O44---------------- 1.0
C16H40N6 C238H440N58O92-------------------------------- 1.0
C16H40N6 C494H920N122O188---------------------------------------------------------------- 1.0
C16H40N6 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C16H40N6 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C16H40N6 C122H308N62O60 1.0
C16H40N6 C250H628N126O124 1.0
C16H40N6 C506H1268N254O252 1.0
C40H96N14 C16H40N6 1.0
C40H96N14 C88H208N30 1.0
C40H96N14 C376H880N126 1.0
C40H96N14 C22H56N10O4 1.0
C40H96N14 C62H152N26O12 1.0
C40H96N14 C142H344N58O28 1.0
C40H96N14 C142H344N58O28 1.0
C40H96N14 C622H1496N250O124 1.0
C40H96N14 C1262H3032N506O252 1.0
C40H96N14 C5102H12248N2042O1020 1.0
  -1
C40H96N14 C46H80N10O20-------- 1.0
C40H96N14 C110H200N26O44---------------- 1.0
C40H96N14 C238H440N58O92-------------------------------- 1.0
C40H96N14 C494H920N122O188---------------------------------------------------------------- 1.0
C40H96N14 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C40H96N14 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C40H96N14 C122H308N62O60 1.0
C40H96N14 C250H628N126O124 1.0
C40H96N14 C506H1268N254O252 1.0
C88H208N30 C16H40N6 1.0
C88H208N30 C40H96N14 1.0
C88H208N30 C376H880N126 1.0
C88H208N30 C22H56N10O4 1.0
C88H208N30 C62H152N26O12 1.0
C88H208N30 C142H344N58O28 1.0
C88H208N30 C142H344N58O28 1.0
C88H208N30 C622H1496N250O124 1.0
C88H208N30 C1262H3032N506O252 1.0
C88H208N30 C5102H12248N2042O1020 1.0
  -1
C88H208N30 C46H80N10O20-------- 1.0
C88H208N30 C110H200N26O44---------------- 1.0
C88H208N30 C238H440N58O92-------------------------------- 1.0
C88H208N30 C494H920N122O188---------------------------------------------------------------- 1.0
C88H208N30 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C88H208N30 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C88H208N30 C122H308N62O60 1.0
C88H208N30 C250H628N126O124 1.0
C88H208N30 C506H1268N254O252 1.0
C376H880N126 C16H40N6 1.0
C376H880N126 C40H96N14 1.0
C376H880N126 C88H208N30 1.0
C376H880N126 C22H56N10O4 1.0
C376H880N126 C62H152N26O12 1.0
C376H880N126 C142H344N58O28 1.0
C376H880N126 C142H344N58O28 1.0
C376H880N126 C622H1496N250O124 1.0
C376H880N126 C1262H3032N506O252 1.0
C376H880N126 C5102H12248N2042O1020 1.0
  -1
C376H880N126 C46H80N10O20-------- 1.0
C376H880N126 C110H200N26O44---------------- 1.0
C376H880N126 C238H440N58O92-------------------------------- 1.0
C376H880N126 C494H920N122O188---------------------------------------------------------------- 1.0
C376H880N126 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C376H880N126 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C376H880N126 C122H308N62O60 1.0
C376H880N126 C250H628N126O124 1.0
C376H880N126 C506H1268N254O252 1.0
C22H56N10O4 C16H40N6 1.0
C22H56N10O4 C40H96N14 1.0
C22H56N10O4 C88H208N30 1.0
C22H56N10O4 C376H880N126 1.0
C22H56N10O4 C62H152N26O12 1.0
C22H56N10O4 C142H344N58O28 1.0
C22H56N10O4 C142H344N58O28 1.0
C22H56N10O4 C622H1496N250O124 1.0
C22H56N10O4 C1262H3032N506O252 1.0
C22H56N10O4 C5102H12248N2042O1020 1.0
  -1
C22H56N10O4 C46H80N10O20-------- 1.0
C22H56N10O4 C110H200N26O44---------------- 1.0
C22H56N10O4 C238H440N58O92-------------------------------- 1.0
C22H56N10O4 C494H920N122O188---------------------------------------------------------------- 1.0
C22H56N10O4 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C22H56N10O4 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C22H56N10O4 C122H308N62O60 1.0
C22H56N10O4 C250H628N126O124 1.0
C22H56N10O4 C506H1268N254O252 1.0
C62H152N26O12 C16H40N6 1.0
C62H152N26O12 C40H96N14 1.0
C62H152N26O12 C88H208N30 1.0
C62H152N26O12 C376H880N126 1.0
C62H152N26O12 C22H56N10O4 1.0
C62H152N26O12 C142H344N58O28 1.0
C62H152N26O12 C142H344N58O28 1.0
C62H152N26O12 C622H1496N250O124 1.0
C62H152N26O12 C1262H3032N506O252 1.0
C62H152N26O12 C5102H12248N2042O1020 1.0
  -1
C62H152N26O12 C46H80N10O20-------- 1.0
C62H152N26O12 C110H200N26O44---------------- 1.0
C62H152N26O12 C238H440N58O92-------------------------------- 1.0
C62H152N26O12 C494H920N122O188---------------------------------------------------------------- 1.0
C62H152N26O12 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C62H152N26O12 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C62H152N26O12 C122H308N62O60 1.0
C62H152N26O12 C250H628N126O124 1.0
C62H152N26O12 C506H1268N254O252 1.0
C142H344N58O28 C16H40N6 1.0
C142H344N58O28 C40H96N14 1.0
C142H344N58O28 C88H208N30 1.0
C142H344N58O28 C376H880N126 1.0
C142H344N58O28 C22H56N10O4 1.0
C142H344N58O28 C62H152N26O12 1.0
C142H344N58O28 C142H344N58O28 1.0
C142H344N58O28 C622H1496N250O124 1.0
C142H344N58O28 C1262H3032N506O252 1.0
C142H344N58O28 C5102H12248N2042O1020 1.0
  -1
C142H344N58O28 C46H80N10O20-------- 1.0
C142H344N58O28 C110H200N26O44---------------- 1.0
C142H344N58O28 C238H440N58O92-------------------------------- 1.0
C142H344N58O28 C494H920N122O188---------------------------------------------------------------- 1.0
C142H344N58O28 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C122H308N62O60 1.0
C142H344N58O28 C250H628N126O124 1.0
C142H344N58O28 C506H1268N254O252 1.0
C142H344N58O28 C16H40N6 1.0
C142H344N58O28 C40H96N14 1.0
C142H344N58O28 C88H208N30 1.0
C142H344N58O28 C376H880N126 1.0
C142H344N58O28 C22H56N10O4 1.0
C142H344N58O28 C62H152N26O12 1.0
C142H344N58O28 C142H344N58O28 1.0
C142H344N58O28 C622H1496N250O124 1.0
C142H344N58O28 C1262H3032N506O252 1.0
C142H344N58O28 C5102H12248N2042O1020 1.0
  -1
C142H344N58O28 C46H80N10O20-------- 1.0
C142H344N58O28 C110H200N26O44---------------- 1.0
C142H344N58O28 C238H440N58O92-------------------------------- 1.0
C142H344N58O28 C494H920N122O188---------------------------------------------------------------- 1.0
C142H344N58O28 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C122H308N62O60 1.0
C142H344N58O28 C250H628N126O124 1.0
C142H344N58O28 C506H1268N254O252 1.0
C622H1496N250O124 C16H40N6 1.0
